bb_idx,MT_Neoag
916,22.440171
917,22.440171
918,37.532123
919,37.532123
920,37.532123
921,37.532123
922,37.532123
923,37.532123
924,1.933884
925,1.933884
926,1.933884
927,1.933884
928,1.933884
929,1.933884
930,1.933884
931,1.933884
932,1.933884
933,1.933884
934,1.933884
935,1.933884
936,1.933884
937,1.933884
938,1.933884
939,1.933884
940,1.933884
941,1.933884
942,1.933884
943,1.933884
944,1.933884
945,1.933884
946,1.933884
947,1.933884
948,1.933884
949,1.933884
950,1.933884
951,1.933884
952,1.933884
953,1.933884
954,1.933884
955,1.933884
956,1.933884
957,1.933884
958,1.933884
959,1.933884
960,13.16998
961,13.16998
962,13.16998
963,13.16998
964,13.16998
965,13.16998
966,13.16998
967,13.16998
968,13.16998
969,13.16998
970,13.16998
971,13.16998
972,43.318294
973,43.318294
974,43.318294
975,43.318294
976,43.318294
977,43.318294
978,13.16998
979,13.16998
980,13.16998
981,13.16998
982,13.16998
983,13.16998
984,13.16998
985,13.16998
986,13.16998
987,13.16998
988,13.16998
989,13.16998
990,13.16998
991,13.16998
992,13.16998
993,13.16998
994,13.16998
995,13.16998
996,13.16998
997,13.16998
998,13.16998
999,13.16998
1000,13.16998
1001,13.16998
1002,54.97577
1003,54.97577
1004,54.97577
1005,54.97577
1006,54.97577
1007,54.97577
1008,13.16998
1009,13.16998
1010,13.16998
1011,13.16998
1012,13.16998
1013,13.16998
1014,13.16998
1015,13.16998
1016,13.16998
1017,13.16998
1018,13.16998
1019,13.16998
1020,13.16998
1021,13.16998
1022,13.16998
1023,13.16998
1024,13.16998
1025,13.16998
1026,13.16998
1027,13.16998
1028,13.16998
1029,13.16998
1030,13.16998
1031,13.16998
1032,13.16998
1033,13.16998
1034,13.16998
1035,13.16998
1036,13.16998
1037,13.16998
1038,13.16998
1039,13.16998
1040,13.16998
1041,13.16998
1042,13.16998
1043,13.16998
1044,43.318294
1045,43.318294
1046,43.318294
1047,43.318294
1048,43.318294
1049,43.318294
1050,13.16998
1051,13.16998
1052,13.16998
1053,13.16998
1054,13.16998
1055,13.16998
1056,43.318294
1057,43.318294
1058,43.318294
1059,43.318294
1060,43.318294
1061,43.318294
