bb_idx,MT_Repitope,WT_Repitope
1001,0.40344,0.39456
1002,0.37912,0.36888
1003,0.37912,0.36888
1004,0.37912,0.36888
1005,0.37912,0.36888
1006,0.37912,0.36888
1007,0.37912,0.36888
1008,0.36472,0.34672
1009,0.36472,0.34672
1010,0.36472,0.34672
1011,0.36472,0.34672
1012,0.36472,0.34672
1013,0.36472,0.34672
1014,0.36432,0.35768
1015,0.36432,0.35768
1016,0.36432,0.35768
1017,0.36432,0.35768
1018,0.36432,0.35768
1019,0.36432,0.35768
1020,0.39872,0.40976
1021,0.39872,0.40976
1022,0.39872,0.40976
1023,0.39872,0.40976
1024,0.39872,0.40976
1025,0.39872,0.40976
1026,0.46464,0.46672
1027,0.46464,0.46672
1028,0.46464,0.46672
1029,0.46464,0.46672
1030,0.46464,0.46672
1031,0.46464,0.46672
1032,0.4244,0.41008
1033,0.4244,0.41008
1034,0.4244,0.41008
1035,0.4244,0.41008
1036,0.4244,0.41008
1037,0.4244,0.41008
1038,0.42568,0.40152
1039,0.42568,0.40152
1040,0.42568,0.40152
1041,0.42568,0.40152
1042,0.42568,0.40152
1043,0.42568,0.40152
1044,0.35936,0.40656
1045,0.35936,0.40656
1046,0.35936,0.40656
1047,0.35936,0.40656
1048,0.35936,0.40656
1049,0.35936,0.40656
1050,0.36792,0.41616
1051,0.36792,0.41616
1052,0.36792,0.41616
1053,0.36792,0.41616
1054,0.36792,0.41616
1055,0.36792,0.41616
1056,0.38128,0.42736
1057,0.38128,0.42736
1058,0.38128,0.42736
1059,0.38128,0.42736
1060,0.38128,0.42736
1061,0.38128,0.42736
1062,0.39168,0.4464
1063,0.39168,0.4464
1064,0.39168,0.4464
1065,0.39168,0.4464
1066,0.39168,0.4464
1067,0.39168,0.4464
1068,0.40464,0.43976
1069,0.40464,0.43976
1070,0.40464,0.43976
1071,0.40464,0.43976
1072,0.40464,0.43976
1073,0.40464,0.43976
1074,0.39352,0.41304
1075,0.39352,0.41304
1076,0.39352,0.41304
1077,0.39352,0.41304
1078,0.39352,0.41304
1079,0.39352,0.41304
1080,0.436,0.43808
1081,0.436,0.43808
1082,0.436,0.43808
1083,0.436,0.43808
1084,0.436,0.43808
1085,0.436,0.43808
1086,0.45648,0.46872
1087,0.45648,0.46872
1088,0.45648,0.46872
1089,0.45648,0.46872
1090,0.45648,0.46872
1091,0.45648,0.46872
1092,0.43184,0.4868
1093,0.43184,0.4868
1094,0.43184,0.4868
1095,0.43184,0.4868
1096,0.43184,0.4868
1097,0.43184,0.4868
1098,0.3908,0.39872
1099,0.3908,0.39872
1100,0.3908,0.39872
1101,0.3908,0.39872
1102,0.3908,0.39872
1103,0.3908,0.39872
1104,0.35088,0.38696
1105,0.35088,0.38696
1106,0.35088,0.38696
1107,0.35088,0.38696
1108,0.35088,0.38696
1109,0.35088,0.38696
1110,0.35344,0.41208
1111,0.35344,0.41208
1112,0.35344,0.41208
1113,0.35344,0.41208
1114,0.35344,0.41208
1115,0.35344,0.41208
1116,0.36992,0.4472
1117,0.36992,0.4472
1118,0.36992,0.4472
1119,0.36992,0.4472
1120,0.36992,0.4472
1121,0.36992,0.4472
1122,0.30608,0.37656
1123,0.30608,0.37656
1124,0.30608,0.37656
1125,0.30608,0.37656
1126,0.30608,0.37656
1127,0.30608,0.37656
1128,0.30616,0.32024
1129,0.30616,0.32024
1130,0.30616,0.32024
1131,0.30616,0.32024
1132,0.30616,0.32024
1133,0.30616,0.32024
1134,0.4292,0.42864
1135,0.4292,0.42864
1136,0.4292,0.42864
1137,0.4292,0.42864
1138,0.4292,0.42864
1139,0.4292,0.42864
1140,0.36968,0.40976
1141,0.36968,0.40976
1142,0.36968,0.40976
1143,0.36968,0.40976
1144,0.36968,0.40976
1145,0.36968,0.40976
1146,0.35176,0.39472
1147,0.35176,0.39472
1148,0.35176,0.39472
1149,0.35176,0.39472
1150,0.35176,0.39472
1151,0.35176,0.39472
1152,0.30472,0.32232
1153,0.30472,0.32232
