sample_id,domain,conv_step,converged,final_norm,max_steps,cos_thr,trained_S,extrapolated
vindr_f7c13055c1aa432a78ed8c172df3a6d1.png,VinDr,,False,107.24701690673828,16,0.01,16,False
vindr_877735b744c0d327c287cdf7ffb44406.png,VinDr,,False,104.34859466552734,16,0.01,16,False
vindr_644ce5af82ecc76391728df8cd2bfb3d.png,VinDr,,False,101.39238739013672,16,0.01,16,False
vindr_ddae224726cc363800e54cf9a2152831.png,VinDr,,False,107.21440887451172,16,0.01,16,False
vindr_cc107c77fdeb8e07b2b24dc39c19d854.png,VinDr,,False,106.51846313476562,16,0.01,16,False
vindr_2b3a09923dd40a6874d3ee54773575ed.png,VinDr,,False,103.7145767211914,16,0.01,16,False
vindr_5a8231c748478ef6be5055800a2fce17.png,VinDr,,False,93.1944580078125,16,0.01,16,False
vindr_52a8241a351307b812b63dd80912e0dd.png,VinDr,,False,101.53895568847656,16,0.01,16,False
vindr_4bbfa8505b7fbc0685c14d1003763f9e.png,VinDr,,False,98.82211303710938,16,0.01,16,False
vindr_adaf0261d0c111e5928ba94ab6b36e2d.png,VinDr,,False,100.4078369140625,16,0.01,16,False
vindr_e116b6bde060443258fdae111bdef5e9.png,VinDr,,False,110.60646057128906,16,0.01,16,False
vindr_a250942c6fa30b188f2141ef8ab8f278.png,VinDr,,False,109.52388763427734,16,0.01,16,False
vindr_8f9e622e3073bab2eabdf4a7ff0f91a7.png,VinDr,,False,107.02935028076172,16,0.01,16,False
vindr_56c3bbef093e2a2601cf4373aac9ff92.png,VinDr,,False,105.92510223388672,16,0.01,16,False
vindr_2c2e205feb58eb75845728eacc34ae46.png,VinDr,,False,104.28256225585938,16,0.01,16,False
vindr_b032f38205cd517f3916a4bf6eda26da.png,VinDr,,False,104.11737823486328,16,0.01,16,False
vindr_39784ca691902bc2cf6b54c0d4d46289.png,VinDr,,False,103.32489776611328,16,0.01,16,False
vindr_e05b55dd675f21cf1835c60193313d6f.png,VinDr,,False,107.64205169677734,16,0.01,16,False
vindr_4cf0aac32c2c85577aa7742d457a0285.png,VinDr,,False,93.0721664428711,16,0.01,16,False
vindr_46a92b724080ebd55dfa7ec22975694e.png,VinDr,,False,103.10562133789062,16,0.01,16,False
vindr_708e9255eba0c7279a625e6eb817f6d7.png,VinDr,,False,101.60616302490234,16,0.01,16,False
vindr_c399b71d7f853206cdf9bfa916252b4d.png,VinDr,,False,99.88543701171875,16,0.01,16,False
vindr_5a557f51ba011be71c4ba3223515dbef.png,VinDr,,False,102.84532928466797,16,0.01,16,False
vindr_0b0e106a53f9dc3b28a9b15f94510b7a.png,VinDr,,False,99.47187805175781,16,0.01,16,False
vindr_3a0c8147f49daff4b4306c4a14ec358b.png,VinDr,,False,101.29547119140625,16,0.01,16,False
vindr_169e94bdbffa80c0c00be2439c5fe2c7.png,VinDr,,False,99.41050720214844,16,0.01,16,False
vindr_132eaf12f0c7f30a7d740178ec968777.png,VinDr,,False,103.79830169677734,16,0.01,16,False
vindr_db1942c4b69ecc90ff870f987b7c5284.png,VinDr,,False,102.92427062988281,16,0.01,16,False
vindr_624decabb72afef84b63d24305cecf3d.png,VinDr,,False,103.52873992919922,16,0.01,16,False
vindr_b18121dc37e2914d7a630c3ac781c9d7.png,VinDr,,False,105.34996795654297,16,0.01,16,False
vindr_fd0101d5a41b3c0a8743502692690bdb.png,VinDr,,False,97.58150482177734,16,0.01,16,False
vindr_a1554d4363bfee858ee0240b0efbb5a5.png,VinDr,,False,106.33992767333984,16,0.01,16,False
vindr_693008c77b426c4afc45e990f5f07287.png,VinDr,,False,98.49285888671875,16,0.01,16,False
vindr_2da795e38db0e7086e2479f7aaf1e631.png,VinDr,,False,97.57138061523438,16,0.01,16,False
vindr_ca23e139746a14d9de312dc7271d84e4.png,VinDr,,False,106.36032104492188,16,0.01,16,False
vindr_1bf0c30ec9cf3abe34938787e5f9fc28.png,VinDr,,False,104.26432800292969,16,0.01,16,False
vindr_3607a4db624454ddc7be55ab40e00456.png,VinDr,,False,96.7703857421875,16,0.01,16,False
vindr_e13dd07552354a7fd87cd1bbde299d58.png,VinDr,,False,106.2594223022461,16,0.01,16,False
vindr_0c8878df2a566fd017170ebde56cc92a.png,VinDr,,False,105.08815002441406,16,0.01,16,False
vindr_419e64fc0d498cc804d7a9f825270fa3.png,VinDr,,False,99.3450698852539,16,0.01,16,False
vindr_aac838f63754af621d342ada37d20787.png,VinDr,,False,103.82367706298828,16,0.01,16,False
vindr_1505c78837ead7b0646ff1153b91eeee.png,VinDr,,False,97.54319763183594,16,0.01,16,False
vindr_cc75a5d7b00303186db163aaa97a3011.png,VinDr,,False,101.1230239868164,16,0.01,16,False
vindr_ddbe41935f4c7c4c6624654585e12652.png,VinDr,,False,100.04475402832031,16,0.01,16,False
